MAT;Autret;Mathis;06.27.35.46.00;AutretMathis@mesguen.fr
MQL;Quentel;Mehdi;06.31.80.60.98;QuentelMehdi@mesguen.fr
NRD;Richard;Noe;06.71.18.59.80;RichardNoe@mesguen.fr
MLX;Leroux;Maxence;06.34.42.65.40;LerouxMaxence@mesguen.fr
TFH;Floch;Thomas;06.59.59.20.13;FlochThomas@mesguen.fr
ELN;LeBihan;Enzo;06.62.35.08.02;LeBihanEnzo@mesguen.fr
AMN;Morvan;Aaron;06.72.78.10.32;MorvanAaron@mesguen.fr
ELE;LeBorgne;Evan;06.58.28.72.17;LeBorgneEvan@mesguen.fr
MPT;Prigent;Marwane;06.88.18.35.93;PrigentMarwane@mesguen.fr
DBN;Bizien;Dorian;06.51.05.52.29;BizienDorian@mesguen.fr
AHN;Hamon;Alexis;06.47.11.91.40;HamonAlexis@mesguen.fr
TBN;Breton;Thibault;06.44.47.42.83;BretonThibault@mesguen.fr
BAL;Abgrall;Baptiste;06.99.24.04.51;AbgrallBaptiste@mesguen.fr
ACE;Corre;Anthony;06.84.03.04.90;CorreAnthony@mesguen.fr
ASN;Simon;Amaury;06.46.97.80.81;SimonAmaury@mesguen.fr
MRD;Richard;Maelys;06.56.87.66.27;RichardMaelys@mesguen.fr
CPT;Prigent;Chloe;06.25.16.54.72;PrigentChloe@mesguen.fr
YTY;Tanguy;Yuna;06.80.69.11.89;TanguyYuna@mesguen.fr
LCE;Corre;Lilou;06.26.04.98.04;CorreLilou@mesguen.fr
PBN;Breton;Pauline;06.57.63.88.88;BretonPauline@mesguen.fr
MDL;Daniel;Maewenn;06.49.46.01.77;DanielMaewenn@mesguen.fr
LLE;LeBorgne;Lana;06.23.25.84.63;LeBorgneLana@mesguen.fr
ELS;Lucas;Elise;06.15.88.27.03;LucasElise@mesguen.fr
GGM;Guillerm;Guillemette;06.21.64.71.35;GuillermGuillemette@mesguen.fr
CLE;Le Moigne;Chloe;06.20.80.34.93;LeMoigneChloe@mesguen.fr
MCT;Coat;Melissa;06.60.79.10.15;CoatMelissa@mesguen.fr
NMN;Martin;Nathalie;06.45.81.97.69;MartinNathalie@mesguen.fr
MLL;LeGall;Mathilde;06.90.34.28.81;LeGallMathilde@mesguen.fr
PDN;Derrien;Pauline;06.25.30.65.32;DerrienPauline@mesguen.fr
